1	8	2
2	3	4
3	11	2
4	7	12
5	13	13
6	3	1
7	2	3
8	2	7
9	15	1
10	8	8
11	4	8
12	13	6
13	19	4
14	13	7
15	1	7
16	10	10
17	0	2
18	6	6
19	4	13
20	6	3
21	5	6
22	4	14
23	3	26
24	2	1
25	2	4
26	11	6
27	14	2
28	14	2
29	6	3
30	14	7
31	16	11
32	12	11
33	11	0
34	12	2
35	8	0
36	0	5
37	8	0
38	16	0
39	6	25
40	6	3
41	1	4
42	3	3
43	1	6
44	14	4
45	3	13
46	0	1
47	4	23
48	9	27
49	3	27
50	13	0
51	8	2
52	6	3
53	12	2
54	9	9
55	1	1
56	1	5
57	3	4
58	13	5
59	25	4
60	2	2
61	7	7
62	8	11
63	4	6
64	2	7
65	16	4
66	17	8
67	2	23
68	25	11
69	5	1
70	3	2
71	13	2
72	9	16
73	3	6
74	2	6
75	4	14
76	11	2
77	11	3
78	3	0
79	19	4
80	4	2
81	26	0
82	5	11
83	4	7
84	2	5
85	30	11
86	8	27
87	17	9
88	5	5
89	11	4
90	1	2
91	1	0
92	2	0
93	17	6
94	26	1
95	19	1
96	9	2
97	10	2
98	9	1
99	7	2
100	17	0
